sex,age,time,failures,score,gpa,,,G3,sex not norm,,studytime,correct not norm,,,attemtps,correct
1,15,11,0,85.71428571,1,,,6,F,,2,6,,,7,6
-1,15,11,0,100,3,,,15,M,,2,15,,,15,15
1,15,11,0,66.66666667,2,,,10,F,,2,10,,,9,6
1,15,11,2,57.14285714,1,,,8,F,,2,9,,,7,4
1,16,11,0,87.5,1,,,6,F,,2,7,,,8,7
1,15,12,0,76.92307692,2,,,14,F,,3,14,,,13,10
-1,16,11,1,90.90909091,2,,,10,M,,2,10,,,11,10
-1,16,11,0,75,1,,,7,M,,2,6,,,8,6
1,16,12,0,100,1,,,8,F,,3,7,,,7,7
1,15,10,0,81.25,4,,,18,F,,1,17,,,16,13
1,16,11,0,85.71428571,1,,,6,F,,2,6,,,7,6
1,16,11,0,90.90909091,2,,,10,F,,2,10,,,11,10
-1,15,13,0,72.72727273,2,,,14,M,,4,13,,,11,8
1,15,13,1,57.14285714,2,,,10,F,,4,10,,,7,4
-1,16,10,0,72.72727273,3,,,15,M,,1,15,,,11,8
1,16,11,0,62.5,2,,,10,F,,2,9,,,8,5
1,16,10,0,72.72727273,2,,,14,F,,1,14,,,11,8
1,16,12,0,57.14285714,1,,,8,F,,3,9,,,7,4
-1,16,10,0,100,0,,,5,M,,1,7,,,7,7
-1,16,12,0,81.25,3,,,17,M,,3,17,,,16,13
-1,15,10,0,70,2,,,14,M,,1,13,,,10,7
1,15,11,0,85.71428571,1,,,6,F,,2,6,,,7,6
-1,15,11,0,81.25,4,,,18,M,,2,18,,,16,13
1,15,13,0,70,2,,,11,F,,4,11,,,10,7
1,15,13,0,57.14285714,1,,,8,F,,4,8,,,7,4
-1,16,12,0,81.25,4,,,18,M,,3,18,,,16,13
-1,15,13,0,70,2,,,13,M,,4,13,,,10,7
1,16,12,0,78.57142857,3,,,16,F,,3,15,,,14,11
-1,15,10,0,83.33333333,4,,,19,M,,1,19,,,18,15
1,16,12,1,57.14285714,2,,,10,F,,3,10,,,7,4
1,16,11,1,70,2,,,13,F,,2,13,,,10,7
-1,15,10,0,83.33333333,4,,,19,M,,1,19,,,18,15
-1,15,11,0,100,1,,,9,M,,2,9,,,9,9
-1,16,11,0,100,3,,,16,M,,2,15,,,15,15
-1,15,11,0,72.72727273,2,,,14,M,,2,13,,,11,8
-1,16,10,0,76.92307692,2,,,13,M,,1,14,,,13,10
-1,17,11,1,77.77777778,1,,,8,M,,2,7,,,9,7
-1,15,10,0,92.85714286,2,,,13,M,,1,13,,,14,13
1,15,11,0,93.75,3,,,15,F,,2,15,,,16,15
-1,15,13,0,87.5,3,,,15,M,,4,14,,,16,14
1,16,11,0,100,2,,,13,F,,2,13,,,13,13
-1,16,10,0,78.57142857,2,,,13,M,,1,11,,,14,11
1,16,11,0,87.5,1,,,8,F,,2,7,,,8,7
-1,15,10,0,100,2,,,12,M,,1,13,,,13,13
1,15,11,0,57.14285714,2,,,11,F,,2,10,,,7,4
1,19,11,3,57.14285714,1,,,9,F,,2,8,,,7,4
-1,18,10,2,57.14285714,0,,,0,M,,1,4,,,7,4
-1,16,10,0,100,4,,,18,M,,1,18,,,18,18
1,15,12,2,0,0,,,0,F,,3,0,,,12,0
1,15,10,0,0,0,,,0,F,,1,0,,,8,0
1,17,10,0,70,2,,,12,F,,1,13,,,10,7
1,16,10,0,91.66666667,2,,,11,F,,1,11,,,12,11
-1,15,11,0,0,0,,,0,M,,2,0,,,9,0
1,15,12,0,0,0,,,0,F,,3,0,,,11,0
-1,17,11,0,0,0,,,0,M,,2,0,,,10,0
1,16,10,2,0,0,,,0,F,,1,0,,,4,0
-1,16,11,1,85.71428571,2,,,12,M,,2,12,,,14,12
1,15,10,0,100,3,,,15,F,,1,16,,,16,16
-1,15,13,0,57.14285714,0,,,0,M,,4,9,,,7,4
-1,16,10,2,100,1,,,9,M,,1,9,,,9,9
1,15,12,0,66.66666667,2,,,11,F,,3,11,,,9,6
1,16,10,0,100,2,,,13,F,,1,14,,,14,14
-1,17,10,3,0,0,,,0,M,,1,0,,,5,0
1,15,11,0,62.5,2,,,11,F,,2,11,,,8,5
1,15,11,3,50,0,,,0,F,,2,7,,,6,3
1,15,11,0,70,2,,,11,F,,2,11,,,10,7
-1,16,10,0,85.71428571,0,,,0,M,,1,6,,,7,6
-1,15,10,3,62.5,2,,,10,M,,1,9,,,8,5
-1,18,10,3,83.33333333,0,,,0,M,,1,5,,,6,5
-1,16,10,1,75,2,,,14,M,,1,13,,,12,9
1,15,12,2,100,2,,,10,F,,3,10,,,10,10
-1,19,10,3,0,0,,,0,M,,1,0,,,5,0
1,17,10,0,100,2,,,12,F,,1,11,,,11,11
-1,15,11,0,72.72727273,1,,,8,M,,2,8,,,11,8
-1,17,10,0,75,2,,,13,M,,1,12,,,16,12
1,18,10,3,88.88888889,2,,,10,F,,1,8,,,9,8
-1,16,10,0,88.23529412,3,,,15,M,,1,15,,,17,15
-1,16,11,1,70,2,,,12,M,,2,12,,,10,7
-1,17,10,2,85.71428571,0,,,0,M,,1,6,,,7,6
-1,15,11,2,40,1,,,7,M,,2,9,,,5,2
-1,16,10,1,0,0,,,0,M,,1,0,,,7,0
-1,17,10,0,100,2,,,10,M,,1,10,,,10,10
-1,17,11,3,40,1,,,7,M,,2,8,,,5,2
-1,16,10,1,91.66666667,2,,,12,M,,1,11,,,12,11
-1,16,11,0,100,2,,,10,M,,2,10,,,10,10
1,16,11,0,78.57142857,3,,,16,F,,2,15,,,14,11
1,16,11,0,50,0,,,0,F,,2,7,,,6,3
1,16,11,0,100,2,,,14,F,,2,14,,,14,14
-1,16,10,2,83.33333333,0,,,0,M,,1,5,,,6,5
-1,16,11,0,76.92307692,3,,,16,M,,2,15,,,13,10
-1,17,11,0,84.61538462,2,,,10,M,,2,11,,,13,11
1,16,11,3,87.5,0,,,0,F,,2,7,,,8,7
1,16,11,0,70,1,,,9,F,,2,11,,,10,7
-1,17,11,0,90,1,,,9,M,,2,9,,,10,9
1,16,11,0,100,2,,,11,F,,2,13,,,13,13
-1,17,11,0,83.33333333,1,,,6,M,,2,5,,,6,5
-1,16,10,0,80,1,,,9,M,,1,8,,,10,8
-1,17,11,0,100,2,,,11,M,,2,10,,,10,10
-1,16,11,0,88.88888889,1,,,8,M,,2,8,,,9,8
-1,16,11,0,75,2,,,12,M,,2,13,,,12,9
1,17,11,0,81.25,3,,,17,F,,2,17,,,16,13
1,17,11,0,100,1,,,8,F,,2,9,,,9,9
1,16,11,0,75,2,,,12,F,,2,13,,,12,9
-1,17,11,0,100,2,,,11,M,,2,12,,,12,12
-1,16,10,0,72.72727273,2,,,11,M,,1,12,,,11,8
-1,16,11,0,100,3,,,15,M,,2,15,,,15,15
1,17,11,0,87.5,1,,,9,F,,2,7,,,8,7
-1,17,11,0,62.5,2,,,10,M,,2,9,,,8,5
1,16,11,0,72.72727273,2,,,13,F,,2,12,,,11,8
1,17,11,0,100,1,,,9,F,,2,8,,,8,8
-1,17,11,0,57.14285714,1,,,8,M,,2,8,,,7,4
-1,16,10,0,62.5,2,,,10,M,,1,9,,,8,5
-1,16,10,0,76.92307692,2,,,14,M,,1,14,,,13,10
1,17,11,0,78.57142857,3,,,15,F,,2,15,,,14,11
-1,17,10,0,88.23529412,3,,,16,M,,1,15,,,17,15
-1,16,10,0,100,2,,,10,M,,1,9,,,9,9
1,17,10,1,100,4,,,18,F,,1,18,,,18,18
1,16,11,0,100,2,,,10,F,,2,9,,,9,9
1,16,11,0,100,3,,,16,F,,2,16,,,16,16
1,16,11,0,62.5,2,,,10,F,,2,10,,,8,5
1,17,11,0,100,2,,,10,F,,2,9,,,9,9
1,17,10,0,85.71428571,1,,,6,F,,1,6,,,7,6
1,16,13,0,100,2,,,11,F,,4,10,,,10,10
1,17,12,1,90,1,,,9,F,,3,9,,,10,9
1,16,11,3,100,1,,,7,F,,2,7,,,7,7
1,16,11,0,72.72727273,2,,,13,F,,2,12,,,11,8
1,16,10,0,100,2,,,10,F,,1,9,,,9,9
1,17,12,0,100,1,,,7,F,,3,7,,,7,7
1,19,13,0,100,1,,,8,F,,4,8,,,8,8
-1,17,11,0,100,2,,,13,M,,2,12,,,12,12
1,16,11,0,75,2,,,14,F,,2,13,,,12,9
-1,18,11,1,50,1,,,8,M,,2,7,,,6,3
1,17,10,0,62.5,2,,,10,F,,1,10,,,8,5
1,17,11,0,78.57142857,3,,,15,F,,2,15,,,14,11
1,17,11,2,100,0,,,4,F,,2,6,,,6,6
-1,18,11,1,100,1,,,8,M,,2,6,,,6,6
1,17,10,0,100,1,,,8,F,,1,7,,,7,7
1,17,12,0,66.66666667,2,,,10,F,,3,10,,,9,6
1,17,11,0,100,1,,,6,F,,2,6,,,6,6
1,17,12,1,83.33333333,0,,,0,F,,3,5,,,6,5
1,16,11,0,100,3,,,17,F,,2,16,,,16,16
-1,18,11,0,75,2,,,13,M,,2,13,,,12,9
1,16,12,0,100,2,,,14,F,,3,13,,,13,13
1,18,11,1,88.88888889,1,,,7,F,,2,8,,,9,8
1,17,11,0,93.75,3,,,15,F,,2,15,,,16,15
-1,17,11,0,91.66666667,2,,,12,M,,2,11,,,12,11
-1,18,11,0,80,1,,,9,M,,2,8,,,10,8
1,17,12,0,83.33333333,2,,,12,F,,3,10,,,12,10
1,17,11,0,100,2,,,14,F,,2,13,,,13,13
-1,17,11,0,100,2,,,11,M,,2,11,,,11,11
-1,17,11,0,81.81818182,1,,,9,M,,2,9,,,11,9
-1,16,11,0,92.85714286,2,,,13,M,,2,13,,,14,13
-1,16,11,0,77.77777778,1,,,6,M,,2,7,,,9,7
-1,16,12,0,81.81818182,2,,,10,M,,3,9,,,11,9
-1,17,11,0,92.85714286,2,,,13,M,,2,13,,,14,13
1,16,10,0,92.30769231,2,,,12,F,,1,12,,,13,12
1,17,11,0,84.61538462,2,,,11,F,,2,11,,,13,11
-1,18,11,1,100,0,,,0,M,,2,7,,,7,7
-1,17,11,0,100,2,,,12,M,,2,12,,,12,12
-1,17,11,0,70,2,,,12,M,,2,11,,,10,7
-1,16,10,0,0,0,,,0,M,,1,0,,,6,0
-1,16,10,0,92.30769231,2,,,12,M,,1,12,,,13,12
1,18,12,0,0,0,,,0,F,,3,0,,,7,0
-1,16,10,0,100,4,,,18,M,,1,18,,,18,18
-1,17,10,0,100,2,,,13,M,,1,12,,,12,12
-1,22,10,3,50,1,,,8,M,,1,8,,,6,3
-1,18,11,1,0,0,,,5,M,,2,5,,,3,0
-1,16,10,0,76.92307692,3,,,15,M,,1,15,,,13,10
-1,18,10,1,50,1,,,8,M,,1,8,,,6,3
-1,16,11,0,57.14285714,2,,,10,M,,2,10,,,7,4
-1,18,10,1,50,1,,,8,M,,1,9,,,6,3
-1,16,10,0,62.5,1,,,8,M,,1,9,,,8,5
-1,17,10,0,62.5,2,,,12,M,,1,12,,,8,5
-1,17,10,1,57.14285714,1,,,8,M,,1,9,,,7,4
1,17,13,0,85.71428571,2,,,13,F,,4,12,,,14,12
-1,19,11,0,100,2,,,11,M,,2,11,,,11,11
-1,18,11,0,93.33333333,2,,,14,M,,2,14,,,15,14
1,17,13,0,90,0,,,0,F,,4,9,,,10,9
1,18,11,0,82.35294118,4,,,18,F,,2,18,,,17,14
-1,18,11,0,100,1,,,8,M,,2,8,,,8,8
-1,18,12,0,92.30769231,2,,,12,M,,3,12,,,13,12
1,17,12,0,90,1,,,9,F,,3,9,,,10,9
1,18,12,0,66.66666667,0,,,0,F,,3,10,,,9,6
-1,18,11,0,100,3,,,17,M,,2,17,,,17,17
-1,17,11,0,100,2,,,10,M,,2,9,,,9,9
1,18,11,0,83.33333333,2,,,11,F,,2,10,,,12,10
-1,18,11,0,90,2,,,10,M,,2,9,,,10,9
1,18,11,0,0,0,,,0,F,,2,0,,,6,0
1,19,11,2,100,1,,,9,F,,2,9,,,9,9
1,18,13,0,93.33333333,2,,,14,F,,4,14,,,15,14
1,18,11,0,100,2,,,11,F,,2,11,,,11,11
-1,17,11,0,93.33333333,2,,,14,M,,2,14,,,15,14
1,17,11,0,100,2,,,10,F,,2,10,,,10,10
1,17,11,0,100,2,,,12,F,,2,12,,,12,12
1,18,11,0,90,1,,,9,F,,2,9,,,10,9
-1,18,10,0,100,1,,,9,M,,1,9,,,9,9
1,18,11,1,88.88888889,1,,,8,F,,2,8,,,9,8
-1,18,10,0,70,2,,,10,M,,1,11,,,10,7
-1,17,10,0,100,1,,,8,M,,1,8,,,8,8
-1,17,10,1,81.81818182,2,,,10,M,,1,9,,,11,9
1,18,13,0,100,2,,,12,F,,4,12,,,12,12
1,18,11,0,62.5,2,,,10,F,,2,9,,,8,5
1,17,11,0,90,2,,,11,F,,2,9,,,10,9
-1,17,11,0,83.33333333,2,,,11,M,,2,10,,,12,10
1,18,12,0,100,4,,,19,F,,3,18,,,18,18
1,17,12,0,92.30769231,2,,,12,F,,3,12,,,13,12
-1,18,12,0,93.33333333,2,,,14,M,,3,14,,,15,14
-1,18,11,0,86.66666667,3,,,15,M,,2,13,,,15,13
-1,18,11,0,91.66666667,2,,,11,M,,2,11,,,12,11
1,17,12,0,100,3,,,15,F,,3,15,,,15,15
1,18,11,1,100,2,,,13,F,,2,12,,,12,12
1,17,13,0,100,4,,,18,F,,4,18,,,18,18
-1,18,12,0,92.85714286,2,,,14,M,,3,13,,,14,13
-1,17,10,0,85.71428571,2,,,11,M,,1,12,,,14,12
1,19,11,0,90,0,,,0,F,,2,9,,,10,9
1,18,11,0,80,1,,,8,F,,2,8,,,10,8
1,18,13,0,92.85714286,2,,,14,F,,4,13,,,14,13
-1,18,10,0,93.75,3,,,16,M,,1,15,,,16,15
1,18,11,0,83.33333333,2,,,11,F,,2,10,,,12,10
-1,17,10,0,100,2,,,10,M,,1,11,,,11,11
1,17,12,0,80,2,,,14,F,,3,12,,,15,12
1,17,13,0,100,4,,,18,F,,4,17,,,17,17
-1,19,11,1,93.33333333,2,,,13,M,,2,14,,,15,14
1,18,11,1,85.71428571,2,,,12,F,,2,12,,,14,12
-1,20,10,0,82.35294118,4,,,18,M,,1,18,,,17,14
-1,19,10,1,62.5,1,,,8,M,,1,9,,,8,5
-1,19,11,1,80,2,,,12,M,,2,12,,,15,12
1,19,11,1,83.33333333,2,,,10,F,,2,10,,,12,10
1,19,11,1,100,0,,,0,F,,2,9,,,9,9
1,19,11,0,85.71428571,2,,,13,F,,2,12,,,14,12
-1,19,11,1,84.61538462,2,,,11,M,,2,11,,,13,11
1,19,11,1,76.92307692,2,,,11,F,,2,10,,,13,10
1,19,12,2,86.66666667,2,,,13,F,,3,13,,,15,13
1,19,12,1,84.61538462,2,,,11,F,,3,11,,,13,11
1,18,11,0,100,0,,,0,F,,2,8,,,8,8
1,18,12,0,66.66666667,1,,,9,F,,3,10,,,9,6
1,17,12,0,100,2,,,10,F,,3,11,,,11,11
1,18,11,0,100,2,,,11,F,,2,11,,,11,11
1,17,11,0,100,2,,,13,F,,2,13,,,13,13
1,17,11,0,81.81818182,1,,,9,F,,2,9,,,11,9
1,17,12,0,100,2,,,11,F,,3,11,,,11,11
1,17,12,0,75,3,,,15,F,,3,14,,,12,9
1,17,12,0,93.75,3,,,15,F,,3,15,,,16,15
-1,18,12,0,66.66666667,2,,,11,M,,3,12,,,9,6
-1,17,10,0,78.57142857,3,,,16,M,,1,15,,,14,11
-1,17,10,0,90.90909091,2,,,10,M,,1,10,,,11,10
1,17,12,0,90,1,,,9,F,,3,9,,,10,9
1,17,12,0,100,2,,,14,F,,3,14,,,14,14
-1,18,13,0,88.88888889,1,,,8,M,,4,8,,,9,8
1,17,12,0,75,2,,,14,F,,3,14,,,12,9
1,18,11,0,0,0,,,0,F,,2,0,,,7,0
1,18,11,0,100,0,,,0,F,,2,8,,,8,8
1,18,13,0,90,0,,,0,F,,4,9,,,10,9
1,17,12,0,93.75,3,,,15,F,,3,15,,,16,15
1,19,12,1,92.85714286,2,,,13,F,,3,13,,,14,13
1,17,11,0,57.14285714,0,,,0,F,,2,8,,,7,4
1,18,13,0,93.75,3,,,17,F,,4,15,,,16,15
1,17,11,0,66.66666667,2,,,10,F,,2,10,,,9,6
1,19,12,1,72.72727273,2,,,11,F,,3,12,,,11,8
-1,18,11,1,100,0,,,0,M,,2,10,,,10,10
-1,18,11,0,93.75,3,,,15,M,,2,15,,,16,15
1,17,11,1,88.88888889,0,,,0,F,,2,8,,,9,8
1,18,12,0,90.90909091,2,,,10,F,,3,10,,,11,10
1,18,12,0,100,2,,,14,F,,3,13,,,13,13
-1,18,12,0,93.75,3,,,16,M,,3,15,,,16,15
-1,18,12,0,100,1,,,9,M,,3,10,,,10,10
1,17,12,0,76.92307692,3,,,15,F,,3,15,,,13,10
-1,18,10,1,72.72727273,2,,,13,M,,1,13,,,11,8
-1,19,11,3,87.5,1,,,8,M,,2,7,,,8,7
-1,17,11,0,100,2,,,13,M,,2,13,,,13,13
-1,18,10,1,87.5,1,,,8,M,,1,7,,,8,7
-1,19,10,1,100,1,,,8,M,,1,8,,,8,8
-1,17,11,0,84.61538462,2,,,11,M,,2,11,,,13,11
1,18,11,0,90,1,,,9,F,,2,9,,,10,9
1,17,11,0,75,2,,,13,F,,2,13,,,12,9
1,17,11,0,100,2,,,11,F,,2,12,,,12,12
-1,18,10,0,100,2,,,10,M,,1,10,,,10,10
1,18,12,0,88.88888889,3,,,16,F,,3,16,,,18,16
1,18,11,0,100,2,,,13,F,,2,13,,,13,13
-1,18,11,1,92.30769231,2,,,12,M,,2,12,,,13,12
1,18,11,0,100,2,,,10,F,,2,11,,,11,11
1,17,11,0,93.75,3,,,15,F,,2,15,,,16,15
1,17,11,0,91.66666667,2,,,12,F,,2,11,,,12,11
-1,18,11,0,100,2,,,10,M,,2,10,,,10,10
-1,18,12,0,100,2,,,13,M,,3,13,,,13,13
1,17,10,1,85.71428571,0,,,0,F,,1,6,,,7,6
1,18,10,0,90.90909091,2,,,10,F,,1,10,,,11,10
1,18,11,0,85.71428571,2,,,11,F,,2,12,,,14,12
1,19,11,2,100,1,,,9,F,,2,7,,,7,7
-1,18,10,0,85.71428571,2,,,12,M,,1,12,,,14,12
1,17,12,0,84.61538462,2,,,11,F,,3,11,,,13,11
1,17,10,0,83.33333333,0,,,5,F,,1,5,,,6,5
1,18,12,0,94.73684211,4,,,19,F,,3,18,,,19,18
1,18,12,0,100,2,,,10,F,,3,8,,,8,8
1,20,12,2,93.33333333,3,,,15,F,,3,14,,,15,14
1,18,11,0,62.5,2,,,10,F,,2,9,,,8,5
1,18,11,0,100,3,,,15,F,,2,15,,,15,15
1,17,11,0,100,2,,,10,F,,2,10,,,10,10
-1,18,11,0,93.33333333,2,,,14,M,,2,14,,,15,14
-1,18,10,0,85.71428571,1,,,7,M,,1,6,,,7,6
-1,17,11,0,100,2,,,10,M,,2,11,,,11,11
-1,19,10,1,83.33333333,0,,,0,M,,1,5,,,6,5
-1,18,10,1,83.33333333,0,,,5,M,,1,5,,,6,5
1,18,12,0,90,2,,,10,F,,3,9,,,10,9
1,18,10,0,83.33333333,1,,,6,F,,1,5,,,6,5
1,19,12,1,71.42857143,0,,,0,F,,3,5,,,7,5
1,18,11,0,57.14285714,1,,,8,F,,2,9,,,7,4
1,18,11,1,83.33333333,0,,,0,F,,2,5,,,6,5
-1,20,11,2,100,1,,,9,M,,2,9,,,9,9
-1,17,10,0,78.57142857,3,,,16,M,,1,16,,,14,11
-1,21,10,3,80,1,,,7,M,,1,8,,,10,8
-1,18,10,0,72.72727273,2,,,10,M,,1,12,,,11,8
-1,19,10,0,62.5,1,,,9,M,,1,9,,,8,5
